Topic,Content
['thời sự'],"['người', 'lính', 'mũ nồi', 'xanh', 'trở về', 'nam', 'sudan', 'người', 'lính', 'mũ nồi', 'xanh', 'trở', 'nước', '17', 'thực hiện', 'nhiệm vụ', 'gìn giữ', 'hòa bình', 'nam', 'sudan']"
['thời sự'],"['thủ tướng', 'phạm', 'minh', 'cảnh báo', 'nguy cơ', 'bùng phát', 'dịch', 'lãnh đạo', 'chính phủ', 'giao', 'y tế', 'rà soát', 'hoàn chỉnh', 'phương án', 'phòng chống', 'covid19', 'quy mô', 'quốc gia', 'sẵn sàng', 'đáp ứng', 'tình huống', 'dịch bệnh']"
['thời sự'],"['bốn', 'thách thức', 'dân số', 'già', 'việt', 'nam', 'việt', 'nam', 'trong', 'thời kỳ', 'dân số', 'vàng', 'song', 'đứng', 'nhiều', 'thách thức', 'số', 'già', 'nhanh', 'đa số', 'có', 'lương', 'hưu']"
['thời sự'],"['đường', 'cao', 'mai', 'dịch', 'cầu', 'thăng long', 'đầu', 'cấm', 'phương tiện', 'hai', 'đầu', 'cầu cạn', 'vành đai', '3', 'đoạn', 'mai', 'dịch', 'cầu', 'thăng long', 'chặn', 'phục vụ', 'đổ', 'bê tông', 'lối', 'xuống', 'nút', 'giao', 'cổ nhuế']"
['thời sự'],"['sao', 'lao động', 'chế độ', 'hưu trí', 'xe máy', 'em gái', 'đi', 'thực tập', 'hơn', 'ly', 'về', 'chọn', '26', 'triệu', 'bảo hiểm', 'xã hội', 'lần', 'không thể', 'xoay', 'tiền']"
['thời sự'],"['mới', 'nguyên tắc', 'phân công', 'thủ tướng', 'phó thủ tướng', 'nguyên tắc', 'phân công', 'quan hệ', 'công tác', 'thủ tướng', 'phạm', 'minh', 'và', 'phó thủ tướng', 'kế thừa', 'quy định', 'đây', 'bổ sung', 'điểm']"
['thời sự'],"['doanh nghiệp', 'xe', 'tai nạn', 'dừng', 'hoạt động', 'công ty', 'xuất khẩu', 'gỗ', 'huy', 'hảo', 'dừng', 'kinh doanh', 'vận tải', 'hai', 'vì', 'chấp hành', 'quy định', 'an toàn', 'đến', 'vụ', 'tai nạn', '7', 'chết']"
['thời sự'],"['đề xuất', 'khởi động', 'dự án', 'xây dựng', 'dữ liệu', 'hộ tịch', 'đề án', 'xây dựng', 'cơ sở', 'dữ liệu', 'quốc gia', 'hộ tịch', 'phê duyệt', 'năm', '2015', 'kinh phí', '1290', 'tỷ', 'đồng', 'đến', 'bộ', 'tư pháp', 'được', '18', 'tỷ', 'đồng']"
['thời sự'],"['lâm', 'đồng', 'triển khai', 'trồng', '50', 'triệu', 'xanh', 'ubnd', 'tỉnh', 'lâm', 'đồng phát động', 'chương trình', 'trồng', '50', 'triệu', 'xanh', 'giai đoạn', '20212025', 'nâng', 'độ', 'che phủ', 'trên', '55']"
['thời sự'],"['đường băng', 'ở', 'sân bay', 'tân sơn', 'bị', 'sét', 'đánh hỏng', 'đường băng', '25', 'r07l', 'nâng cấp', 'sân bay', 'tân sơn', 'quận', 'tân bình', 'sét', 'đánh', 'hư hỏng', 'ngưng', 'khai thác', 'một', 'chiều', '234']"
['thời sự'],"['kiến nghị', 'bàn giao', '12', 'ha', 'đất', 'quốc phòng', 'làm', 'đường', 'chính quyền', 'tp', 'hcm', 'kiến nghị', 'quốc phòng', 'ý kiến', 'chính phủ', 'bàn giao', 'khu', 'đất', '118', 'ha', 'thực hiện', 'dự án', 'xây dựng', 'đường', 'nối', 'trần', 'quốc', 'hoàn cộng hoà']"
['thời sự'],"['bom', 'móng', 'hộ', 'dân', 'thành phố', 'vĩnh yên', 'phát hiện', 'bom', '340', 'kg', 'đào', 'móng']"
['thời sự'],"['chấn chỉnh', 'bất cập', 'chuyến', 'bay', 'người', 'nhập cảnh', 'thủ tướng', 'quản lý', 'chặt chẽ', 'tổ chức', 'chuyến', 'bay', 'nhập cảnh', 'tần suất', 'diện', 'nhập cảnh', 'số lượng', 'người', 'chuyến', 'bay']"
['thời sự'],"['tuyên dương', 'tài xế', 'cứu', 'gái', 'nhảy cầu', 'tài xế', 'taxi', 'lê huy sinh', '35', 'được', 'trao', 'huy hiệu', 'tuổi trẻ', 'dũng cảm', 'cứu', 'gái', 'gieo', 'xuống', 'sông']"
['thời sự'],"['4', 'học sinh', 'mất tích', 'tắm', 'biển', '4', 'học sinh', '1213', 'ở', 'xã', 'hoằng hải', 'huyện', 'hoằng hóa', 'đi', 'tắm', 'biển', 'bị', 'sóng', 'trôi', 'hiện', 'tìm', 'một', 'thi thể']"
['thời sự'],"['sân bay', 'tân sơn', 'lắp', '5', 'máy', 'soi', 'chiếu', 'hệ thống', 'soi', 'chiếu', 'an ninh', 'ga', 'quốc nội', 'sân bay', 'tân sơn', 'được', 'lắp', '5', 'máy', 'nâng', 'năng lực', 'kiểm tra', 'hơn', '4000', 'mỗi']"
['thời sự'],"['đề xuất', 'tên', '4', 'cầu', 'bắc', 'thủ thiêm', 'cầu thủ thiêm', '1', 'đề nghị', 'thủ thiêm', 'cầu thủ thiêm', '2', 'tên', 'bason', 'cầu thủ thiêm', '3', 'tên', 'thủ', 'ngữ', 'cầu thủ thiêm', '4', 'tên', 'bến', 'nghé']"
['thời sự'],"['kiến nghị', 'giải quyết', 'vướng mắc', 'giao', 'vốn', 'bảo trì', 'đường sắt', 'việc', 'nhiều', 'ý kiến', 'nhau', 'giao', 'vốn', 'bảo trì', 'đường sắt', 'giao thông', 'vận tải', 'kiến nghị', 'chính phủ', 'họp', 'thống nhất', 'ý kiến', 'các', 'ngành']"
['thời sự'],"['khánh', 'hòa', 'tân', 'bí thư', 'tỉnh ủy', 'nguyễn hải ninh', '45', 'phó', 'chánh', 'văn phòng', 'trung ương', 'đảng', 'chức', 'bí thư', 'tỉnh ủy', 'khánh', 'hòa', 'thay', 'nguyễn khắc định', 'đó', 'bầu', 'phó', 'chủ tịch', 'quốc hội']"
['thời sự'],"['tp', 'hcm', 'bắn', 'pháo hoa', '4', 'tp', 'hcm', 'bắn', 'pháo hoa', '4', 'mừng', '46', 'ngày', 'đất nước', 'thống nhất', '30419753042021', 'quốc tế', 'lao động', '15']"
['thời sự'],"['tu bổ', 'di tích', 'xác', 'máy bay', 'b52', 'bắn', 'rơi', 'cơ quan chức năng', 'triển khai', 'dự án', 'tu bổ', 'tôn tạo', 'di tích', 'lịch sử', 'quốc gia', 'hồ', 'hữu', 'tiệp', 'có', 'phần', 'xác', 'máy bay', 'b52', 'bắn', 'rơi']"
['thời sự'],"['thu nhận', '30', 'triệu', 'hồ sơ', 'thẻ', 'căn cước', 'công dân', 'gắn', 'chip', 'công an', 'toàn quốc', 'hoàn tất', 'thu nhận', '30', 'triệu', 'hồ sơ cấp', 'thẻ', 'căn cước', 'công dân', 'gắn', 'chip', 'điện tử', 'từ', '11', '224']"
['thời sự'],"['900', 'tỷ', 'đồng', 'xây', '6', 'cống', 'dọc', 'sông', 'tiền', '6', 'cống', 'ngăn mặn', 'tổng', 'kinh phí', '880', 'tỷ', 'đồng', 'hoàn thành', '3', 'thay thế', 'đập', 'thép', 'tạm thời gian']"
['thời sự'],"['dưa hấu', 'thu hoạch', 'cắt', 'gốc', '10', 'nữa', 'thu hoạch', 'với', '1500', 'dưa hấu', 'xã', 'tam lộc', 'huyện', 'phú', 'ninh', 'kẻ gian', 'cắt', 'gốc']"
['thời sự'],"['tp', 'hcm', 'phạt', 'nghiêm', 'không', 'đeo', 'khẩu trang', 'phó', 'thủ tướng', 'vũ', 'đức', 'đam', 'tp', 'hcm', 'phạt', 'nghiêm', 'không', 'đeo', 'khẩu trang', 'công cộng', 'nguy cơ', 'dịch bệnh', 'cao', 'ca', 'nhiễm', 'các', 'lân cận', 'liên tục']"
['thời sự'],"['4000', 'm', 'hộ', 'lan', 'lốp', 'ôtô', 'đèo', 'lò xo', 'tường', 'lốp', 'cao su', '4000', 'm', 'được', 'lắp đặt', 'đèo', 'lò xo', 'trong', 'điểm', 'đen', 'tai nạn', 'giao thông']"
['thời sự'],"['dân', 'sài gòn', '20', 'sống', 'dòng', 'kênh', 'ô nhiễm', '33', 'km', 'chảy', 'bảy', 'huyện', 'kênh', 'tham', 'lương', 'gần', '20', 'qua', 'ô nhiễm', 'nghiêm trọng', 'rác', 'cỏ', 'dại', 'phủ', 'kín', 'ảnh hưởng', 'cuộc sống', 'người', 'dân']"
['thời sự'],"['lập', 'hồ sơ', 'di sản', 'ẩm thực', 'huế', 'sở', 'văn hóa', 'thể thao', 'nghiên cứu', 'lập', 'hồ sơ', 'trình', 'unesco', 'ghi', 'ẩm thực', 'huế', 'danh mục', 'di sản', 'văn hóa', 'phi', 'vật thể', 'đại diện', 'nhân loại']"
['thời sự'],"['cây', 'thông', 'đà', 'lạt', 'đốn', 'hạ', 'cây', 'thông đường kính', '4072', 'cm', '1420', 'm', 'nằm', 'trung tâm', 'tp', 'đà', 'lạt', 'đốn', 'hạ']"
['thời sự'],"['lĩnh vực', 'công tác', 'thủ tướng', '5', 'phó thủ tướng', 'quyết định', 'việc', 'phân công', 'công tác', 'thủ tướng', 'phạm', 'minh', 'và', '5', 'phó thủ tướng', 'ban hành', '224']"
['thời sự'],"['3', 'dự án', 'cao tốc', 'bắc', 'nam', 'nguy cơ', 'chậm', 'triển khai', 'vướng mắc', 'cơ chế', 'rủi ro', 'nhà nước', 'nhà đầu tư', '3', 'dự án', 'cao tốc', 'bắc', 'nam', 'chậm', 'ký', 'hợp đồng']"
['thời sự'],"['đường', 'cao', 'mai', 'dịch', 'cầu', 'thăng long', 'cấm', 'xe', '3', 'đường', 'vành đai', '3', 'đoạn', 'mai', 'dịch', 'cầu', 'thăng long', 'cấm', 'xe', 'hai', 'chiều', 'ngày', '23', '264', 'phục vụ', 'thi công', '6', 'nhánh', 'kết nối', 'xuống', 'ba', 'nút', 'giao']"
['thời sự'],"['quảng', 'nam', 'chi', '150', 'tỷ', 'đồng', 'xây', '2', 'km', 'bờ', 'kè', 'cửa', 'đại', 'tỉnh', 'quảng nam', 'phê duyệt', 'dự án', 'xây dựng', 'kè', 'bảo vệ', 'bờ', 'biển', 'cửa', 'đại', 'tp', 'hội', 'an', 'ngăn', 'nước biển', 'xâm thực']"
['thời sự'],"['lật', 'xe', 'giường', 'nằm', '31', 'bị thương', 'ôtô', 'giường', 'nằm', 'chạy', 'quốc lộ', '14', 'lật', 'nghiêng', 'đường', '31', 'hành khách', 'phá', 'cửa', 'thoát', 'ngoài']"
['thời sự'],"['4', 'vượt biên', 'campuchia', 'phú', 'quốc', 'trần', 'văn tân', '53', 'lái', 'sà lan', 'chở', '3', 'khác', 'đảo', 'koh', 'rong', 'tỉnh', 'sihanoukville', 'campuchia', 'vượt biên', 'phú', 'quốc', 'biên phòng', 'bắt giữ']"
['thời sự'],"['quảng', 'nam', 'đề xuất', 'thí điểm', 'hộ chiếu', 'vaccine', 'thế nào', 'quốc tế', 'quảng nam', 'có', 'giấy', 'chứng nhận', 'tiêm', 'vaccine', 'covid19', 'ở', 'khu', 'dưỡng', 'biệt lập', 'được', 'xét nghiệm', 'đến', 'hai']"
['thời sự'],"['6', 'tàu', 'metro', '1', 'về', 'tp', 'hcm', 'hai', 'đoàn', 'tàu', '3', 'toa', 'metro', '1', 'bến', 'thành', 'suối tiên', 'dự kiến', 'thành phố', 'đầu', '5', 'hai', 'sau', 'thêm', 'bốn', 'tàu', '6', 'toa', 'nhập', 'về']"
['thời sự'],"['37', 'triệu', 'lao động', 'rút', 'bhxh', 'lần', '5', 'trung bình', 'năm', '750000', 'rời', 'hệ thống', 'an sinh', 'bhxh', 'lần', 'thay vì', 'chờ', 'hưu trí', 'từ', '2016', '2020']"
['thời sự'],"['tp', 'hcm', '2', 'dự án', 'kết nối', 'hơn', '12000', 'tỷ', 'đồng', 'hđnd', 'tp', 'hcm', 'đồng ý', 'xây', 'nút', 'giao', 'an phú', 'làm', 'hạ tầng', 'cải thiện', 'môi trường', 'kênh', 'tham', 'lương', 'bến', 'cát', 'rạch', 'lên', 'năm', '2021', 'kết nối']"
['thời sự'],"['tp', 'hcm', 'tăng', 'hệ số', 'điều chỉnh', 'giá', 'đất', 'hđnd', 'tp', 'hcm', 'nhất trí', 'nguyên', 'hệ số', 'điều chỉnh', 'giá', 'đất', '2021', 'ảnh hưởng', 'covid19', 'giá', 'đất', 'địa bàn', 'so', 'năm']"
['thời sự'],"['đường', 'nguyễn hữu cảnh', 'ngày', 'hoàn thành', 'sửa chữa', '50', 'công nhân', 'máy móc', 'tất bật', 'từ', 'tới', 'đêm', 'dự án', 'sửa', 'đường', 'nguyễn hữu cảnh', 'bình thạnh', 'xong', 'ngày', '304']"
['thời sự'],"['chủ tịch', '1', 'phó', 'chủ tịch', 'hđnd', 'tp', 'hcm', 'nguyễn văn dũng', '49', 'chủ tịch', 'ubnd', '1', 'phó', 'chủ tịch', 'hđnd', 'tp', 'hcm', 'nhiệm kỳ', '20162021', 'tỷ lệ', 'phiếu', '90']"
['thời sự'],"['quy hoạch', 'sông', 'hương', 'không', 'đập', 'di sản', 'nhà', 'cao tầng', 'tác động', 'hai', 'bờ', 'sông', 'hương', 'bố trí', 'cây xanh', 'bờ', 'kè', 'các', 'thiết chế', 'văn hóa', 'được', 'cân nhắc', 'kỹ lưỡng', 'sự', 'thụ hưởng', 'người', 'dân', 'chủ tịch', 'thừa thiên', 'huế']"
['thời sự'],"['nhà hàng', '1000', 'm2', 'xây', 'trái phép', 'cưỡng chế', 'chính quyền', 'tp', 'nha', 'trang', 'cưỡng chế', 'tháo dỡ', 'nhà hàng', 'rộng', '1000', 'm2', 'các', 'công trình', 'xây', 'trái phép', 'xã', 'phước', 'đồng']"
['thời sự'],"['nhà xưởng', 'khu công nghiệp', 'đổ', 'sập', 'trời', 'mưa', 'kèm', 'gió', 'to', 'khu', 'nhà xưởng', 'rộng', '15000', 'm2', 'khu công nghiệp', 'cảng', 'biển', 'hải hà', 'huyện', 'hải hà', 'đổ', 'sập']"
['thời sự'],"['sa pa', 'đóng', 'cửa', 'du lịch', 'đảm bảo', 'mỹ quan', 'chính quyền', 'thị xã', 'sa pa', 'đóng cửa', 'cơ sở', 'checkin', 'an', 'sa pa', 'đường', 'nguyễn chí', 'phường', 'phan si', 'păng', 'ồn ào', 'bức', 'tượng', 'đây']"
['thời sự'],"['chuyên gia', 'ủng hộ', 'thí điểm', 'hộ chiếu', 'vaccine', 'quảng', 'nam', 'chuyên gia', 'rằng', 'việt', 'nam', 'chủ động', 'triển khai', 'cơ chế', 'hộ chiếu', 'vaccine', 'sẽ', 'chậm', 'chân', 'mở cửa', 'thị trường', 'với', 'nước']"
['thời sự'],"['tp', 'hcm', 'nghiên cứu', 'hạn chế', 'xe', '30', 'chỗ', 'trung tâm', 'sở', 'giao thông', 'vận tải', 'tp', 'hcm', 'nghiên cứu', 'lập', 'vành đai', 'hạn chế', 'xe', '30', 'chỗ', 'trung tâm', 'chấn chỉnh', 'xe', 'bến', 'cóc']"
['thời sự'],"['csgt', 'mở đường', 'ôtô', 'chở', 'sản phụ', 'vỡ', 'ối', 'ôtô', 'chở', 'sản phụ', 'vỡ', 'ối', 'kẹt', 'xe', 'đại úy', 'nguyễn hữu thắng', 'lái xe', 'đặc chủng', 'mở đường', '5', 'km', 'vào', 'bệnh viện', 'dũ']"
['thời sự'],"['sài gòn', 'dâng', 'hương', 'đền', 'hùng', 'lãnh đạo', 'tp', 'hcm', 'hàng', 'nghìn', 'dân', 'đền', 'tưởng niệm', 'vua', 'hùng', 'tp', 'thủ đức', 'dâng', 'hương', 'ngày giỗ', 'tổ', '214']"
['thời sự'],"['chủ tịch', 'dâng', 'hương', 'tưởng niệm', 'vua', 'hùng', 'lễ', 'dâng', 'hương', 'tưởng niệm', 'vua', 'hùng', 'diễn', 'tại', 'điện', 'kính thiên', 'đỉnh', 'nghĩa lĩnh', 'khu', 'di tích', 'lịch sử', 'quốc gia', 'đền', 'hùng', '214']"
['thời sự'],"['công trình', 'đền', 'thờ', 'vua', 'hùng', '130', 'tỷ', 'đồng', 'cần thơ', 'gần', '2', 'xây dựng', 'công trình', 'đền', 'thờ', 'vua', 'hùng', 'cần thơ', 'vốn', 'đầu tư', '130', 'tỷ', 'đồng', 'diện tích', '4', 'ha', 'hoàn thành', '90']"
['thời sự'],"['hàng', 'nghìn', 'dự', 'giỗ', 'tổ', 'mờ', 'nghìn', 'dân', 'đổ', 'khu', 'di tích', 'lịch sử', 'đền', 'hùng', 'dự', 'lễ', 'giỗ', 'tổ', '4', 'h', '214', 'tức', '103', 'âm lịch']"
['thời sự'],"['lũ', 'cát', 'đồi', 'đổ', 'đường', 'mũi', 'né', 'bùn', 'cát', 'dự án', 'bất động sản', 'đồi', 'ập', 'khiến', 'đường', 'ven', 'biển', 'tê liệt', 'vùi', 'ôtô', '4', 'xe máy']"
['thời sự'],"['hình hài', 'quảng trường', 'trung tâm', 'rộng', '9', 'ha', 'đà', 'nẵng', '28', 'loay hoay', 'một số', 'địa điểm', 'tp', 'đà', 'nẵng', 'khu vực', 'di tích', 'quốc gia', 'thành', 'điện', 'hải', 'xây dựng', 'quảng trường', 'trung tâm']"
['thời sự'],"['trùng tu', 'nhà', 'hồ', 'nguyễn nhạc', 'hai', 'tôn tạo', 'cụm', 'di tích', 'nhà', 'hồ', 'nguyễn nhạc', '250', 'thuộc', 'quần thể', 'di tích', 'lịch sử', 'quốc gia', 'tây sơn thượng đạo', 'hoàn thành']"
['thời sự'],"['rừng', 'ngập mặn', 'lòng', 'tp', 'phan thiết', 'bình thuận', 'xem xét', 'bảo tồn', 'phát huy', 'khu', 'rừng', 'ngập mặn', 'rộng', '32', 'ha', 'sót', 'giữa', 'tp', 'phan thiết']"
['thời sự'],"['chuyên gia', 'tránh', 'vết', 'xe', 'đổ', 'siết', 'quy định', 'bhxh', 'lần', 'đề xuất', 'hạn chế', 'lao động', 'bảo hiểm', 'xã hội', 'lần', 'bị', 'phản đối', 'cần', 'chính sách', 'khi', 'khởi động', 'theo', 'nguyên', 'thứ trưởng', 'phạm', 'minh', 'huân']"
['thời sự'],"['dân', 'chen chân', 'pháo hoa', 'dịp', 'giỗ', 'tổ', 'hùng', 'vương', 'dân', 'địa phương', 'du khách', 'đổ', 'khu vực', 'công viên', 'văn lang', 'tp', 'việt trì', 'chen chân', 'đứng', 'chờ', 'nhiều', 'để', 'pháo hoa', 'đêm', '204']"
['thời sự'],"['100', 'nhập viện', 'tiệc', 'cưới', 'đám cưới', 'huyện', 'đăk', 'glong', 'gia đình', 'nấu', 'khi', 'xong', '100', 'phải', 'nhập viện', 'nghi', 'ngộ độc', 'thực phẩm']"
['thời sự'],"['hà', 'nội', 'khởi động', 'đường', 'vành đai', '4', 'tuyến', 'đường', 'gần', '100', 'km', 'đi', 'ba', 'tỉnh', 'hà nội', 'hưng', 'yên bắc ninh', 'quy mô', 'cao tốc', '6', 'làn', 'xe', 'đó', 'đoạn', 'thủ đô', '56', 'km']"
['thời sự'],"['bắc', 'ninh', 'nghệ an', 'tân', 'giám đốc', 'công an', 'đại tá', 'bùi', 'hưng', 'phó', 'cục trưởng', 'thư ký', 'lãnh đạo', 'công an', 'bổ nhiệm', 'giám đốc', 'công an', 'tỉnh', 'bắc ninh']"
['thời sự'],"['soi', 'chiếu', 'an ninh', 'khách', 'tân sơn', 'phải', 'xong', '45', 'giây', 'lực lượng', 'an ninh', 'sân bay', 'tân sơn', 'được', 'thêm', 'thiết bị', 'kiểm tra', 'soi', 'chiếu', 'an ninh', 'khách', 'vòng', '45', 'giây', 'để', 'ùn tắc']"
['thời sự'],"['phân luồng', 'du khách', 'đền', 'hùng', 'ngày giỗ', 'tổ', 'ban', 'tổ chức', 'bố trí', 'bảng', 'cập nhật', 'mật độ', 'du khách', 'các', 'khu vực', 'di tích', 'đền', 'hùng', 'người', 'dân', 'lựa chọn', 'lộ trình', 'tham quan', 'ùn', 'ứ']"
['thời sự'],"['kiểm soát', 'đồ chơi', 'rõ', 'nguồn gốc', 'trường', 'chủ yếu', 'tuyên truyền', 'giáo dục', 'học sinh', 'xa', 'đồ chơi', 'độc hại', 'khi', 'chính quyền', 'dẹp', 'xong', 'tái diễn', 'hàng', 'cổng', 'trường']"
['thời sự'],"['tiền giang', 'tháo dỡ', '8', 'đập', 'thép', 'ngăn mặn', 'tình hình', 'hạn', 'mặn', 'giảm', 'những', 'mưa', 'tỉnh', 'tiền giang', 'tháo dỡ', '8', 'đập', 'thép', 'các', 'kênh', 'tạo', 'cho', 'ghe', 'tàu']"
['thời sự'],"['trận địa', 'pháo hoa', '8500', 'trước', 'khai hỏa', 'pháo', 'hoa', 'bắn', 'hai', 'đợt', 'và', 'chương', 'tình', 'nghệ thuật', 'giỗ', 'tổ', 'hùng', 'vương', 'đêm', '204']"
['thời sự'],"['tàu', 'hộ vệ', 'nhật', 'thăm', 'xã', 'giao', 'tp', 'hải phòng', 'tàu', 'hộ vệ', 'akebono', 'lực lượng', 'tự vệ', 'biển', 'nhật', 'thăm', 'xã giao', 'thành phố', 'hải phòng', '20', '224']"
['thời sự'],"['sân bay', 'nội', 'triển khai', 'biện pháp', 'chống', 'ùn tắc', 'chống', 'ùn tắc', 'lực lượng', 'an ninh', 'sân bay', 'nội', 'đã', 'ứng trực', 'phân luồng', 'giao thông', 'tối đa', 'hệ thống', 'máy', 'soi', 'chiếu', 'an ninh']"
['thời sự'],"['4000', 'tỷ', 'đồng', 'nút', 'giao', '3', 'tầng', 'tp', 'thủ đức', 'nút', 'giao', 'an phú', 'tổng', 'đầu tư', '3926', 'tỷ', 'đồng', 'dự kiến', 'giai đoạn', '20212025', 'giúp', 'giải tỏa', 'ùn tắc', 'đoạn', 'đầu', 'tuyến', 'cao tốc', 'tp', 'hcm', 'long', 'thành']"
['thời sự'],"['tỉnh', 'bắn', 'pháo hoa', 'tầm', 'dịp', '304', 'tỉnh', 'quảng ninh', 'nghệ an', 'quảng trị', 'bắn', 'pháo hoa', 'tầm', 'dịp', 'nghỉ lễ', 'quá', '15', 'phút', 'kinh phí', 'nguồn', 'xã hội hóa']"
['thời sự'],"['5', 'phụ nữ', 'thuê', 'canô', 'campuchia', 'vượt biên', 'phú', 'quốc', 'phụ nữ', '2136', 'khai', 'thuê', 'tàu', 'vượt biên', 'nước', 'giá', '10001200', 'usd', 'người', 'phát hiện', 'đến', 'phú', 'quốc']"
['thời sự'],"['thủ tướng', 'phạm', 'minh', 'ứng cử', 'đại biểu', 'quốc hội', 'cần thơ', 'hội đồng', 'bầu cử', 'quốc gia', 'gửi', 'danh sách', '203', 'ứng cử', 'đại biểu', 'quốc hội', 'khóa', 'xv', 'trung ương', 'giới thiệu', 'các', 'tỉnh thành']"
['thời sự'],"['bé', 'lớp', '6', 'dạy', 'rubik', 'miễn phí', 'nhà', 'giành', 'huy chương', 'các', 'giải', 'đấu', 'cờ vua', 'tin học', 'quốc khánh', 'chinh phục', 'rubik', 'các', 'làng', 'trẻ', 'sos', 'dạy', 'mở', 'lớp', 'miễn phí', 'nhà']"
['thời sự'],"['xe khách', 'đấu', 'đầu', 'xe tải', 'hai', 'tài xế', 'nạn', 'xe khách', 'đấu', 'đầu', 'xe tải', 'cầu', 'gianh', 'huyện', 'bố trạch', 'một', 'tài xế', 'tử vong', '4', 'h30', '204']"
['thời sự'],"['sơn la', 'đầu tư', 'cao tốc', 'hòa bình', 'mộc', 'châu', 'ngân sách', 'khó', 'huy động', 'vốn', 'xã hội hóa', 'tỉnh', 'sơn la', 'đề xuất', 'cao tốc', 'hòa bình', 'mộc', 'châu', 'đầu tư', 'vốn', 'ngân sách']"
['thời sự'],"['bộ trưởng', 'hầu a', 'lềnh', 'sẽ', 'những', 'khó khăn', 'lãnh đạo', 'của', 'ủy ban', 'dân tộc', 'cam kết', 'đầu tiên', 'những', 'khó khăn', 'của', 'đất nước', 'người', 'dân', 'nhận thức', 'hạn chế']"
['thời sự'],"['nhận', 'bảo hiểm', 'lần', 'xác nhận', 'tự', 'phục vụ', 'quy định', 'cho phép', 'thông tư', 'y tế', 'bắt', 'xác nhận', 'tự', 'phục vụ', 'người', 'mắc', 'ung thư', 'nhận', 'bảo hiểm', 'xã hội', 'lần']"
['thời sự'],"['hải phòng', 'dự kiến', 'chi', '20', 'tỷ', 'đồng', 'lễ hội', 'hoa phượng', 'đỏ', 'ubnd', 'tp', 'hải phòng', 'tổ chức', 'lễ hội', 'hoa phượng', 'đỏ', 'ngày', '11135', 'kinh phí', 'dự kiến', '20', 'tỷ', 'đồng', 'nguồn', 'xã hội hóa']"
